,City,Category,Hotel_Name,Locality,Original Price,Discount,Offer Price,Star Rating,Rating,Remarks,Wi-Fi,CCTV Cameras,Doctor on Call,Parking Facility,Power backup,Elevator,Reception,AC
0,Hyderabad,SPOT ON,ON 37214 Classic Lodge,Near Board Of Intermediate Office,1190,65,406,4.5,870,Excellent,no,no,no,no,no,no,no,no
1,Hyderabad,OYO,24204 Nav Bharath Residency,Near Central Gurudwara Saheb,3017,67,978,4.4,988,Very,yes,yes,yes,yes,yes,yes,yes,yes
2,Hyderabad,OYO,35467 Shiridi Residency,Near Chermas,2226,54,1014,4.7,937,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
3,Hyderabad,SPOT ON,ON 75815 Hotel Kanha Residency,India,1233,72,338,3.8,394,Good,no,no,no,no,no,no,no,no
4,Hyderabad,OYO,74978 Hotel Aadaab,Near Nampally railway station,2317,72,646,3.3,240,Fair,yes,yes,yes,yes,yes,yes,yes,yes
5,Hyderabad,SPOT ON,ON 80705 Balaji Residency,Hyderabad,1074,74,272,3.1,799,Fair,no,no,no,no,no,no,no,no
6,Hyderabad,SPOT ON,ON 72246 Gayatri Lodge,Ranigunj,2051.950704,71,266,3.8,286,Good,yes,yes,yes,yes,yes,yes,yes,yes
7,Hyderabad,OYO,16428 Hotel Vaishnavi Inn,Secunderabad,1920,53,891,4.4,2453,Very,yes,yes,yes,yes,yes,yes,yes,yes
8,Hyderabad,OYO,77239 Hotel Rajdhani,Beside Bharat Petrol pump. opp Matro Station pillor Number- 1206. Lakdikapul Hyderabad,2298,70,687,2.9,165,Fair,no,no,no,no,no,no,no,no
9,Hyderabad,OYO,88350 Hanuma Residency,Behind OZONE Hospital·       6.9 km,1431,47,751,4.9,28,Fabulous,no,no,no,no,no,no,no,no
10,Hyderabad,SPOT ON,ON 81775 MOHIT GOKUL LODGE NEW ROOM'S,NEAR TO SECUNDERBAD EAST METRO RAIL STATION,1248,69,376,3.9,326,Good,yes,yes,yes,yes,yes,yes,yes,yes
11,Hyderabad,OYO,19365 Hotel Sabharwal,Near Grand Hotel ,1729,68,549,3,434,Fair,yes,yes,yes,yes,yes,yes,yes,yes
12,Hyderabad,OYO,73783 Hotel Sai Pariwar,500027,1433,69,437,3.7,336,Good,yes,yes,yes,yes,yes,yes,yes,yes
13,Hyderabad,OYO,HYD1589 Hotel Dhana Residency,India,1248,73,330,2.8,265,Fair,no,no,no,no,no,no,no,no
14,Hyderabad,OYO,Home 79961 Comfortable Stays,Hyderabad,2364,47,1241,4.3,836,Very,yes,yes,yes,yes,yes,yes,yes,yes
15,Hyderabad,Collection O,O 36047 Hotel Srinivasa Residency,Near Global Hospital,1730,61,664,2.9,241,Fair,yes,yes,yes,yes,yes,yes,yes,yes
16,Hyderabad,SPOT ON,ON 80478 Hotel Baba Classic,#7-2-971 & 977 Opp Hanuman Kaman sajjanial street Monda Market Hyderabad.,1344,76,317,2.7,119,Fair,no,no,no,no,no,no,no,no
17,Hyderabad,Capital O,O 71317 White Ridge,Near Khazana Jewellery,3059,47,1606,4.5,2047,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
18,Hyderabad,Collection O,O 68920 Hotel V Square,Near Nampally Metro Station,2150,66,730,3.8,47,Good,no,no,no,no,no,no,no,no
19,Hyderabad,OYO,86305 Hotel Aroma Classic,15-1-309 feelkhana near acharaya bhavan baba ramdav mandir bagum bazar Hyderabad 500012,1801,67,586,4.2,101,Very,yes,yes,yes,yes,yes,yes,yes,yes
20,Hyderabad,SPOT ON,ON 75390 Bhavani Rest Rooms,India,1143,66,388,3.3,581,Fair,no,no,no,no,no,no,no,no
21,Hyderabad,SPOT ON,ON 80753 Sri Sai Amaravathi Lodge,Opposite to metro pillar number A1115,1344,61,523,3,356,Fair,no,no,no,no,no,no,no,no
22,Hyderabad,OYO,49253 Raja Residency,Near Raja Deluxe Complex,2035,55,898,4.3,3390,Very,no,no,no,no,no,no,no,no
23,Hyderabad,SPOT ON,ON 81308 Gokul Residency,Near Ganesh temple,1344,69,414,3.1,215,Fair,no,no,no,no,no,no,no,no
24,Hyderabad,OYO,40852 Hotel White Ridge,Near Dilsukhnagar metro station,1931,47,1014,4,1225,Very,yes,yes,yes,yes,yes,yes,yes,yes
25,Hyderabad,OYO,70927 Hotel Hyderabad Continental,Near Tarakarama Theatre,2051.950704,55,412,3.6,423,Good,no,no,no,no,no,no,no,no
26,Hyderabad,Capital O,O 85402 Sri Sai Regency,Hyderabad,2080,64,747,3.7,100,Good,no,no,no,no,no,no,no,no
27,Hyderabad,SPOT ON,ON 68046 Rainbow Hotel,Hyderabad,1172,61,447,3.9,404,Good,no,no,no,no,no,no,no,no
28,Hyderabad,OYO,40272 Hotel Srinivasa Inn,India,1654,57,695,2.8,86,Fair,yes,yes,yes,yes,yes,yes,yes,yes
29,Hyderabad,SPOT ON,ON 78138 New Hi-tech Lodge,Telangana,2051.950704,57,389,2.9,190,Fair,no,no,no,no,no,no,no,no
30,Hyderabad,OYO,Flagship 77043 Malkajgiri,Malkajgiri,2239,69,675,4,1745,Very,yes,yes,yes,yes,yes,yes,yes,yes
31,Hyderabad,OYO,79037 Metro Lodge,Charminar,1726,55,775,3.8,121,Good,yes,yes,yes,yes,yes,yes,yes,yes
32,Hyderabad,OYO,70743 Hotel White House Silverkey,Near Apollo Hospital,1580,65,541,2.8,63,Fair,no,no,no,no,no,no,no,no
33,Hyderabad,OYO,Flagship 60541 White Ridge,Near Sai Sanjeevani Hospital,1904,52,904,4,2299,Very,no,no,no,no,no,no,no,no
34,Hyderabad,Capital O,O 82995 Sai Leela Residency,Telangana,2157,74,549,3.2,36,Fair,no,no,no,no,no,no,no,no
35,Hyderabad,OYO,9796 Hotel Alekhya Residency,Near Global Hospital,2069,50,1014,3.8,765,Good,yes,yes,yes,yes,yes,yes,yes,yes
36,Hyderabad,SPOT ON,ON 43890 Kaveri Lodge,Near Kamineni Hospital,1344,68,422,3.7,1076,Good,no,no,no,no,no,no,no,no
37,Hyderabad,Collection O,O 81767 Abhi's R Square,Greater Hyderabad Municipal Corporation East Zone,1931,54,879,4,480,Very,no,no,no,no,no,no,no,no
38,Hyderabad,SPOT ON,ON 45433 Sree Radha Lodge,Near Guru dwara,1344,79,272,3.8,370,Good,no,no,no,no,no,no,no,no
39,Hyderabad,OYO,89189 Pratap Luxery Properties,Hyderabad,2315,47,1216,3.846496815,8,Fair,yes,yes,yes,yes,yes,yes,yes,yes
40,Hyderabad,SPOT ON,ON 74055 Panchavati Residency Hotel,Near Metro Pillar no.954,1333,63,487,3.4,433,Fair,no,no,no,no,no,no,no,no
41,Hyderabad,OYO,22907 Hotel Holiday,M.G Road,1816,57,772,3.9,1225,Good,yes,yes,yes,yes,yes,yes,yes,yes
42,Hyderabad,OYO,13300 Hotel New Platinum,Saleemnagar Colony,1995,55,891,3.8,492,Good,yes,yes,yes,yes,yes,yes,yes,yes
43,Hyderabad,SPOT ON,ON 83852 Viand Grand,India,1439,66,479,3.2,56,Fair,yes,yes,yes,yes,yes,yes,yes,yes
44,Hyderabad,Collection O,O 82763 Hotel Rahul International,India,2534,73,664,2.8,19,Fair,yes,yes,yes,yes,yes,yes,yes,yes
45,Hyderabad,OYO,89208 Devi Residency,India,2315,47,1216,3.846496815,8,Fair,yes,yes,yes,yes,yes,yes,yes,yes
46,Hyderabad,OYO,28637 Gokul Grand,Near SR Nagar Police station,3675,47,1930,4.5,2723,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
47,Hyderabad,OYO,82310 Holiday Inn,Telangana,1777,47,933,4.2,871,Very,no,no,no,no,no,no,no,no
48,Hyderabad,OYO,FLAGSHIP 76687 Ramoji Kothapet,Kothapet,2315,61,899,3.9,3317,Good,yes,yes,yes,yes,yes,yes,yes,yes
49,Hyderabad,SPOT ON,ON 82532 Hotel Vivin,India,1000,62,371,3.3,294,Fair,yes,yes,yes,yes,yes,yes,yes,yes
50,Hyderabad,OYO,85469 Star Residential Hotel,Chandrayangutta,1632,61,625,2.4,10,Fair,yes,yes,yes,yes,yes,yes,yes,yes
51,Hyderabad,OYO,69510 Hotel 3m,Near Nampally Metro Station,1875,47,985,3.8,260,Good,yes,yes,yes,yes,yes,yes,yes,yes
52,Hyderabad,Capital O,O 65104 Che Sigma Hotel,Near Narayana High School,2576,71,747,3.4,3194,Fair,yes,yes,yes,yes,yes,yes,yes,yes
53,Hyderabad,OYO,76332 Hotel Sai Manikanta Inn,Indiaf,2234,56,968,3,276,Fair,yes,yes,yes,yes,yes,yes,yes,yes
54,Hyderabad,OYO,Townhouse RCC Majestic 397 LB Nagar,Champapet,3441,47,1807,4.7,2475,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
55,Hyderabad,SPOT ON,ON 48349 Sri Sai Lohith Lodge,Near Regional Passport Office,1191,58,500,4.1,1172,Very,no,no,no,no,no,no,no,no
56,Hyderabad,OYO,Flagship 76333 Shannu Residency,India,1745,54,794,3.7,1017,Good,yes,yes,yes,yes,yes,yes,yes,yes
57,Hyderabad,OYO,Flagship 67479 Alpine Glow Zenith,Near Malani Colony,2409,57,1012,4,1530,Very,yes,yes,yes,yes,yes,yes,yes,yes
58,Hyderabad,OYO,40869 White Ridge,Near Sanjeevini Hospital,2110,55,939,4.2,1534,Very,yes,yes,yes,yes,yes,yes,yes,yes
59,Hyderabad,OYO,84232 Hotel Lavish Stay,LB Nagar Siris Road,2080,69,625,3.4,171,Fair,no,no,no,no,no,no,no,no
60,Hyderabad,SPOT ON,ON 74966 Shree Amardeep Hotel,Near Kims hospital,1481,47,778,3.8,529,Good,no,no,no,no,no,no,no,no
61,Hyderabad,OYO,HOME 79924 PRAMOD PRIME HOMES,nagole,2381,60,949,4.2,1212,Very,yes,yes,yes,yes,yes,yes,yes,yes
62,Hyderabad,Capital O,O 15959 The City Park,Near The City Park,2253,54,1014,3.5,1572,Good,yes,yes,yes,yes,yes,yes,yes,yes
63,Hyderabad,OYO,81907 Hotel Fortune Residency,India,1920,58,799,3.6,441,Good,yes,yes,yes,yes,yes,yes,yes,yes
64,Hyderabad,OYO,15140 Hotel Priya Residency,Near Raniganj,1697,47,891,3.9,795,Good,no,no,no,no,no,no,no,no
65,Hyderabad,OYO,HOME 88937 Kanaka Durga Home Stay,500001,1931,47,1014,3.846496815,8,Fair,yes,yes,yes,yes,yes,yes,yes,yes
66,Hyderabad,OYO,795 Saranggi Boutique Hotel,Centrally Located,2392,65,829,3.9,375,Good,yes,yes,yes,yes,yes,yes,yes,yes
67,Hyderabad,OYO,40166 Hotel My Choice,Near Karachi Bakery,1797,47,943,3.8,285,Good,yes,yes,yes,yes,yes,yes,yes,yes
68,Hyderabad,Capital O,O 72734 Hotel Sri Sai Inn,Near Narayanaguda ,2426,58,1014,3.2,422,Fair,no,no,no,no,no,no,no,no
69,Hyderabad,OYO,Flagship 75583 Thatipally Mansion,Kothapet.,1939,55,869,3.9,1279,Good,yes,yes,yes,yes,yes,yes,yes,yes
70,Hyderabad,OYO,89107 Royal Stay,3-4-400/36/1 Upperpally Rajendranagar Ranga Reddy. Hyderabad. Telangana,2911,47,1528,3.846496815,8,Fair,yes,yes,yes,yes,yes,yes,yes,yes
71,Hyderabad,Townhouse,OAK THE MARGI HOTEL,Hyderabad Hyderabad TelanganaIndia500045,3651,47,1917,4.3,308,Very,yes,yes,yes,yes,yes,yes,yes,yes
72,Hyderabad,OYO,75379 Raja Ram Hotel,Near Bozai functional hall,1594,54,725,3.7,1041,Good,yes,yes,yes,yes,yes,yes,yes,yes
73,Hyderabad,OYO,14726 Hotel Vaishnavi park,Near Monda Market,1808,50,891,3.5,1599,Good,yes,yes,yes,yes,yes,yes,yes,yes
74,Hyderabad,OYO,70733 Hotel Regal,M.G Road,2315,47,1216,4,1548,Very,yes,yes,yes,yes,yes,yes,yes,yes
75,Hyderabad,Collection O,O 81203 Shining Suites,near erragadda metro,1885,60,740,3.8,399,Good,yes,yes,yes,yes,yes,yes,yes,yes
76,Hyderabad,OYO,13550 Hotel Pushpa Grand,Near Star Super Market,1797,54,818,2.9,130,Fair,yes,yes,yes,yes,yes,yes,yes,yes
77,Hyderabad,Capital O,O 49135 Sri Simran Park Hotel,Near Railway station,2288,64,821,3.4,505,Fair,yes,yes,yes,yes,yes,yes,yes,yes
78,Hyderabad,OYO,9936 Elite Inn,Near Chitta Reddy colony,2317,61,899,4,429,Very,yes,yes,yes,yes,yes,yes,yes,yes
79,Hyderabad,OYO,Flagship 83824 Hotel R Square,India,1931,47,1014,3.3,265,Fair,yes,yes,yes,yes,yes,yes,yes,yes
