,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,Selling_Price,Cost_Price,Discount,City,Locality,Rate,Customer_Rating,Remarks,Category,wifi_availabilty,Hotel_Name,Elevator,Parking Facility,Power backup,Doctor on Call,CCTV Cameras,Reception,AC
0,0,OYO 28715 Acclaim,₹500₹196374% offper room per nightView DetailsBook Now,4.5 (6 Ratings)·Excellent, Hair Dryer  Reception  Free Wifi  + 15 more,"Near Abdul Gaffar Khan Marg, Vasant Kunj, Delhi",500.0,1963.0,74.0,Delhi,"Near Abdul Gaffar Khan Marg, Vasant Kunj, ",4.5,6 Ratings,Excellent,OYO,yes,28715 Acclaim,yes,yes,yes,yes,yes,yes,yes
1,1,Capital O 88089 Hotel Elite,₹549₹254778% offper room per nightView DetailsBook Now,4.5 (74 Ratings)·Excellent, Parking Facility  Reception  Free Wifi  + 14 more,"India, Delhi",549.0,2547.0,78.0,Delhi,"India, ",4.5,4 Ratings,Excellent,Capital O,yes,O 88089 Hotel Elite,yes,yes,yes,yes,yes,yes,yes
2,2,OYO 87715 Comfort In,₹541₹202573% offper room per nightView DetailsBook Now,4.6 (136 Ratings)·Excellent, Elevator  Free Wifi  Geyser  + 7 more,"India, Delhi",541.0,2025.0,73.0,Delhi,"India, ",4.6,6 Ratings,Excellent,OYO,yes,87715 Comfort In,yes,yes,yes,yes,yes,yes,yes
3,3,OYO 87875 Krazy Home,₹500₹192574% offper room per nightView DetailsBook Now,4.5 (15 Ratings)·Excellent, Elevator  Free Wifi  Geyser  + 6 more,"India, Delhi",500.0,1925.0,74.0,Delhi,"India, ",4.5,5 Ratings,Excellent,OYO,yes,87875 Krazy Home,yes,yes,yes,yes,yes,yes,yes
4,4,OYO 22355 Hotel Istay,₹699₹237170% offper room per nightView DetailsBook Now,4.6 (176 Ratings)·Excellent, Reception  Free Wifi  Power backup  + 13 more,"Near New Delhi Railway Station, Delhi",699.0,2371.0,70.0,Delhi,"Near New  Railway Station, ",4.6,6 Ratings,Excellent,OYO,yes,22355 Hotel Istay,yes,yes,yes,yes,yes,yes,yes
5,5,OYO 70216 Bluemoon Inn,₹778₹208062% offper room per nightView DetailsBook Now,4.8 (360 Ratings)·Excellent, Reception  Free Wifi  Power backup  + 7 more,"Sarita Vihar, Delhi",778.0,2080.0,62.0,Delhi,"Sarita Vihar, ",4.8,0 Ratings,Excellent,OYO,yes,70216 Bluemoon Inn,yes,yes,yes,yes,yes,yes,yes
6,6,OYO 70893 Kl Khari Inn,₹799₹256468% offper room per nightView DetailsBook Now,4.6 (1016 Ratings)·Excellent, Parking Facility  Reception  Daily Housekeeping  + 7 more,"Near Ashok Park Main, Rampura Marg, Delhi",799.0,2564.0,68.0,Delhi,"Near Ashok Park Main, Rampura Marg, ",4.6,6 Ratings,Excellent,OYO,no,70893 Kl Khari Inn,no,no,no,no,no,no,no
7,7,OYO 86940 Sunrise Villa,₹500₹189073% offper room per nightView DetailsBook Now,4.5 (68 Ratings)·Excellent, Reception  Free Wifi  Caretaker  + 11 more,"Delhi, Delhi",500.0,1890.0,73.0,Delhi,", ",4.5,8 Ratings,Excellent,OYO,yes,86940 Sunrise Villa,yes,yes,yes,yes,yes,yes,yes
8,8,OYO 13277 Hotel Neelam Palace,₹695₹267974% offper room per nightView DetailsBook Now,4.6 (154 Ratings)·Excellent, Free Wifi  Power backup  AC  + 8 more,"Near New Delhi Railway Station, Delhi",695.0,2679.0,74.0,Delhi,"Near New  Railway Station, ",4.6,4 Ratings,Excellent,OYO,yes,13277 Hotel Neelam Palace,yes,yes,yes,yes,yes,yes,yes
9,9,OYO 87920 Hotel Happy Stay Inn,₹509₹201074% offper room per nightView DetailsBook Now,4.4 (28 Ratings)·Very Good, Free Wifi  Geyser  CCTV Cameras  + 5 more,"Delhi, Delhi",509.0,2010.0,74.0,Delhi,", ",4.4,8 Ratings,Very,OYO,yes,87920 Hotel Happy Stay Inn,yes,yes,yes,yes,yes,yes,yes
