,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,City,Locality,Cost_Price,Discount,Selling_Price,Rate,Customer_Rating,Remarks,Category,Hotel_Name,Parking Facility,wifi_availabilty,AC,Reception,CCTV Cameras,Doctor on Call,Power backup,Elevator
0,0,SPOT ON 37214 Classic Lodge,₹406₹119065% offper room per nightView DetailsBook Now,4.5 (870 Ratings)·Excellent, AC  Parking Facility  Elevator  + 8 more,"Near Board Of Intermediate Office, Hyderabad·       1.9 km",Hyderabad,Near Board Of Intermediate Office,1190,65,406,4.5,870 Ratings,Excellent,SPOT ON,ON 37214 Classic Lodge,no,no,no,no,no,no,no,no
1,1,OYO 24204 Nav Bharath Residency,₹978₹301767% offper room per nightView DetailsBook Now,4.4 (988 Ratings)·Very Good, Reception  Free Wifi  Power backup  + 17 more,"Near Central Gurudwara Saheb, Gowliguda, Hyderabad·       1.0 km",Hyderabad,Near Central Gurudwara Saheb,3017,67,978,4.4,988 Ratings,Very,OYO,24204 Nav Bharath Residency,yes,yes,yes,yes,yes,yes,yes,yes
2,2,OYO 35467 Shiridi Residency,₹1014₹222654% offper room per nightView DetailsBook Now,4.7 (937 Ratings)·Excellent, Reception  Free Wifi  Security  + 10 more,"Near Chermas, Abids, Hyderabad·       1.3 km",Hyderabad,Near Chermas,2226,54,1014,4.7,937 Ratings,Excellent,OYO,35467 Shiridi Residency,yes,yes,yes,yes,yes,yes,yes,yes
3,3,SPOT ON 75815 Hotel Kanha Residency,₹338₹123372% offper room per nightView DetailsBook Now,3.8 (394 Ratings)·Good, TV ,"India, Hyderabad·       3.1 km",Hyderabad,India,1233,72,338,3.8,394 Ratings,Good,SPOT ON,ON 75815 Hotel Kanha Residency,no,no,no,no,no,no,no,no
4,4,OYO 74978 Hotel Aadaab,₹646₹231772% offper room per nightView DetailsBook Now,3.3 (240 Ratings)·Fair, Reception  Free Wifi  24/7 Checkin  + 12 more,"Near Nampally railway station, Mahesh Nagar, Hyderabad·       1.8 km",Hyderabad,Near Nampally railway station,2317,72,646,3.3,240 Ratings,Fair,OYO,74978 Hotel Aadaab,yes,yes,yes,yes,yes,yes,yes,yes
5,5,SPOT ON 80705 Balaji Residency,₹272₹107474% offper room per nightView DetailsBook Now,3.1 (799 Ratings)·Fair, AC  TV ,"Hyderabad, Hyderabad·       5.5 km",Hyderabad,Hyderabad,1074,74,272,3.1,799 Ratings,Fair,SPOT ON,ON 80705 Balaji Residency,no,no,no,no,no,no,no,no
6,6,SPOT ON 72246 Gayatri Lodge,₹266₹94071% offper room per nightView DetailsBook Now,3.8 (286 Ratings)·Good, Window  Reception  Free Wifi  + 7 more,"Ranigunj, Hyderabad·       5.4 km",Hyderabad,Ranigunj,,71,266,3.8,286 Ratings,Good,SPOT ON,ON 72246 Gayatri Lodge,yes,yes,yes,yes,yes,yes,yes,yes
7,7,OYO 16428 Hotel Vaishnavi Inn,₹891₹192053% offper room per nightView DetailsBook Now,4.4 (2453 Ratings)·Very Good, Free Wifi  Power backup  Card Payment  + 14 more,"Secunderabad, Hyderabad·       5.4 km",Hyderabad,Secunderabad,1920,53,891,4.4,2453 Ratings,Very,OYO,16428 Hotel Vaishnavi Inn,yes,yes,yes,yes,yes,yes,yes,yes
8,8,OYO 77239 Hotel Rajdhani,₹687₹229870% offper room per nightView DetailsBook Now,2.9 (165 Ratings)·Fair, AC  TV ,"Beside Bharat Petrol pump. opp Matro Station pillor Number- 1206. Lakdikapul Hyderabad, Hyderabad·       3.3 km",Hyderabad,Beside Bharat Petrol pump. opp Matro Station pillor Number- 1206. Lakdikapul Hyderabad,2298,70,687,2.9,165 Ratings,Fair,OYO,77239 Hotel Rajdhani,no,no,no,no,no,no,no,no
9,9,OYO 88350 Hanuma Residency ,₹751₹143147% offper room per nightView DetailsBook Now,4.9 (28 Ratings)·Fabulous, Hair Dryer  Parking Facility  Reception  + 19 more,Behind OZONE Hospital·       6.9 km,Hyderabad,Behind OZONE Hospital·       6.9 km,1431,47,751,4.9,28 Ratings,Fabulous,OYO,88350 Hanuma Residency,no,no,no,no,no,no,no,no
